timestamp,action,price,profit
2024-02-13,BUY,324.7,
2024-03-28,SELL,583.4,258.7
2024-03-29,BUY,612.5,
2024-04-10,SELL,609.7,-2.7999999999999545
2024-04-12,BUY,595.6,
2024-04-15,SELL,552.7,-42.89999999999998
2024-04-26,BUY,598.0,
2024-05-07,SELL,576.5,-21.5
2024-05-15,BUY,581.0,
2024-05-22,SELL,614.8,33.799999999999955
2024-05-24,BUY,600.3,
2024-06-16,SELL,610.8,10.5
2024-07-18,BUY,571.9,
2024-08-02,SELL,542.9,-29.0
2024-08-19,BUY,558.4,
2024-09-02,SELL,526.3,-32.10000000000002
2024-09-15,BUY,553.4,
2024-10-05,SELL,563.0,9.600000000000023
2024-10-15,BUY,594.5,
2024-10-31,SELL,576.6,-17.899999999999977
